Time (s),Velocity (rad/s),Voltage (V)
10.303291320800781,0.0,10.0
10.308309078216553,0.0,10.0
10.328329801559448,0.0,10.0
10.349358081817627,0.0,10.0
10.369456052780151,0.0,10.0
10.389426469802856,0.0,10.0
10.409329414367676,0.0,10.0
10.43031120300293,0.0,10.0
10.450416564941406,0.0,10.0
10.47035026550293,0.0,10.0
10.491553783416748,0.0,10.0
10.511761665344238,0.0,10.0
10.531368494033813,0.0,10.0
10.551408052444458,0.0,10.0
10.572468519210815,0.0,10.0
10.592514514923096,0.0,10.0
10.6124906539917,0.0,10.0
10.633440494537354,0.0,10.0
10.653602361679077,0.0,10.0
10.673605680465698,0.0,10.0
10.708690166473389,0.0,10.0
10.71459174156189,0.0,10.0
10.734550476074219,0.0,10.0
10.755314588546753,0.0,10.0
10.77539849281311,0.0,10.0
10.795571327209473,0.0,10.0
10.815506935119629,0.0,10.0
10.836384296417236,0.0,10.0
10.856518983840942,0.0,10.0
10.876486539840698,0.0,10.0
10.896618366241455,0.0,10.0
10.917510271072388,0.0,10.0
10.937564134597778,0.0,10.0
10.957499504089355,0.0,10.0
10.978345394134521,0.0,10.0
10.998234748840332,0.0,10.0
11.018496751785278,0.0,10.0
11.038642406463623,0.0,10.0
11.059523582458496,0.0,10.0
11.079593420028687,0.0,10.0
11.099658727645874,0.0,10.0
11.120287418365479,0.0,10.0
11.140625,0.0,10.0
11.160559177398682,0.0,10.0
11.181501865386963,0.0,10.0
11.201531648635864,0.0,10.0
11.22159743309021,0.0,10.0
11.241519451141357,0.0,10.0
11.262535810470581,0.0,10.0
11.282368183135986,0.0,10.0
11.302395820617676,0.0,10.0
11.323310136795044,0.0,10.0
11.343531847000122,0.0,10.0
11.363367080688477,0.0,10.0
11.383519887924194,0.0,10.0
11.404504537582397,0.0,10.0
11.424582958221436,0.0,10.0
11.444319009780884,0.0,10.0
11.465216159820557,0.0,10.0
11.485658407211304,0.0,10.0
11.520640850067139,0.0,10.0
11.52651596069336,0.0,10.0
11.546515941619873,0.0,10.0
11.566376686096191,0.0,10.0
11.586379289627075,0.0,10.0
11.607374906539917,0.0,10.0
11.627426862716675,0.0,10.0
11.647507190704346,0.0,10.0
11.668392896652222,0.0,10.0
11.688574075698853,0.0,10.0
11.708491802215576,0.0,10.0
11.728626251220703,0.0,10.0
11.749523639678955,0.0,10.0
11.769603252410889,0.0,10.0
11.789631128311157,0.0,10.0
11.810534954071045,0.0,10.0
11.830429315567017,0.0,10.0
11.850395679473877,0.0,10.0
11.871344089508057,0.0,10.0
11.891391515731812,0.0,10.0
11.911667346954346,0.0,10.0
11.931404113769531,0.0,10.0
11.95247220993042,0.0,10.0
11.972467184066772,0.0,10.0
11.99250864982605,0.0,10.0
12.013533115386963,0.0,10.0
12.033602952957153,0.0,10.0
12.053486108779907,0.0,10.0
12.073647499084473,0.0,10.0
12.094574689865112,0.0,10.0
12.114421844482422,0.0,10.0
12.13439416885376,0.0,10.0
12.155517578125,0.0,10.0
12.17552661895752,0.0,10.0
12.195560693740845,0.0,10.0
12.215660572052002,0.0,10.0
12.236534118652344,0.0,10.0
12.256572961807251,0.0,10.0
12.276409149169922,0.0,10.0
12.297333478927612,0.0,10.0
12.317466259002686,0.0,10.0
12.33765459060669,0.0,10.0
12.358649492263794,0.0,10.0
12.37852144241333,0.0,10.0
12.398483514785767,0.0,10.0
12.418426275253296,0.0,10.0
12.439190149307251,0.0,10.0
12.459495306015015,0.0,10.0
12.47956895828247,0.0,10.0
12.500636577606201,0.0,10.0
12.535183429718018,0.0,10.0
12.540305852890015,0.0,10.0
12.560441255569458,0.0,10.0
12.58144760131836,0.0,10.0
12.601312637329102,0.0,10.0
12.621401071548462,0.0,10.0
12.64238166809082,0.0,10.0
12.662488460540771,0.0,10.0
12.68250298500061,0.0,10.0
12.7033371925354,0.0,10.0
12.738540649414062,0.0,10.0
12.743594884872437,0.0,10.0
12.763600587844849,0.0,10.0
12.78457236289978,0.0,10.0
12.804558515548706,0.0,10.0
12.824625253677368,0.0,10.0
12.845510721206665,0.0,10.0
12.865568399429321,0.0,10.0
12.885460138320923,0.0,10.0
12.905659198760986,0.0,10.0
12.941515445709229,0.0,10.0
12.946487665176392,0.0,10.0
12.966408491134644,0.0,10.0
12.98730993270874,0.0,10.0
13.007503986358643,0.0,10.0
13.027600765228271,0.0,10.0
13.048416376113892,0.0,10.0
13.068470478057861,0.0,10.0
13.088712930679321,0.0,10.0
13.108553886413574,0.0,10.0
13.144663333892822,0.0,10.0
13.1495201587677,0.0,10.0
13.169357776641846,0.0,10.0
13.190666198730469,0.0,10.0
13.210681200027466,0.0,10.0
13.230612516403198,0.0,10.0
13.250647783279419,0.0,10.0
13.271495580673218,0.0,10.0
13.291462898254395,0.0,10.0
13.311571836471558,0.0,10.0
13.34725308418274,0.0,10.0
13.352595090866089,0.0,10.0
13.372625350952148,0.0,10.0
13.393481254577637,0.0,10.0
13.413543462753296,0.0,10.0
13.433361530303955,0.0,10.0
13.453389644622803,0.0,10.0
13.47425651550293,0.0,10.0
13.494551420211792,0.0,10.0
13.51460075378418,0.0,10.0
13.550225257873535,0.0,10.0
13.555428266525269,0.0,10.0
13.575279951095581,0.0,10.0
13.59535813331604,0.0,10.0
13.616352796554565,0.0,10.0
13.636316299438477,0.0,10.0
13.656548738479614,0.0,10.0
13.67740511894226,0.0,10.0
13.697534084320068,0.0,10.0
13.717608451843262,0.0,10.0
13.738393783569336,0.0,10.0
13.758537530899048,0.0,10.0
13.778415441513062,0.0,10.0
13.798543691635132,0.0,10.0
13.81943678855896,0.0,10.0
13.839505910873413,0.0,10.0
13.859571933746338,0.0,10.0
13.880387306213379,0.0,10.0
13.900526285171509,0.0,10.0
13.920516729354858,0.0,10.0
13.940550565719604,0.0,10.0
13.961374282836914,0.0,10.0
13.981387853622437,0.0,10.0
14.001406908035278,0.0,10.0
14.022418737411499,0.0,10.0
14.042645692825317,0.0,10.0
